경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패
49,2025-06-15-01-23,푸린,소바,스플릿,8,10,14,0,134.35,93,-27,30,0,3,0,1,0,l
49,2025-06-15-01-23,아구이뽀,오멘,스플릿,9,6,17,4,115.7,88,-49,23,1,4,0,1,0,l
49,2025-06-15-01-23,핑맨,피닉스,스플릿,1,29,15,3,393.9,250,44,46,3,1,3,0,0,v
49,2025-06-15-01-23,짜누,제트,스플릿,4,16,15,6,242.85,159,20,26,7,3,0,0,1,v
49,2025-06-15-01-23,유봄냥,사이퍼,스플릿,5,16,12,3,203.55,120,2,13,3,1,2,2,0,v
49,2025-06-15-01-23,눈꽃,오멘,스플릿,6,12,14,7,175.0,136,-2,33,0,0,0,0,0,v
49,2025-06-15-01-23,메도우이헌터,테호,스플릿,10,4,14,8,63.85,41,-89,5,0,2,0,5,0,v
49,2025-06-15-01-23,조별하,피닉스,스플릿,2,21,15,5,346.5,234,80,26,3,4,2,0,0,l
50,2025-06-15-02-02,푸린,레이나,어센트,1,25,17,4,304.09,205,55,36,5,1,3,2,0,v
50,2025-06-15-02-02,조별하,킬조이,어센트,2,22,15,4,280.91,184,54,16,1,2,3,1,1,v
50,2025-06-15-02-02,울프,제트,어센트,5,19,20,3,240.83,159,7,32,5,3,1,1,0,v
50,2025-06-15-02-02,김뿡,소바,어센트,7,17,15,6,195.52,140,13,25,1,1,0,2,0,v
50,2025-06-15-02-02,아구이뽀,클로브,어센트,10,10,18,4,103.48,70,-143,19,0,4,0,5,2,v
50,2025-06-15-02-02,짜누,제트,어센트,4,21,19,3,253.04,176,23,23,2,5,1,0,0,l
50,2025-06-15-02-02,눈꽃,사이퍼,어센트,6,17,21,6,227.87,156,-20,27,3,0,2,0,0,l
50,2025-06-15-02-02,핑맨,피닉스,어센트,8,13,21,3,175.3,133,-52,33,3,5,1,0,1,l
50,2025-06-15-02-02,메도우이헌터,브림스톤,어센트,9,11,17,11,143.09,87,-40,21,2,2,1,10,0,l
50,2025-06-15-02-02,유봄냥,소바,어센트,3,23,15,4,274.3,177,15,47,1,0,4,0,1,l

