경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패, rounds
32,2025-06-18-17-58,백곰파,바이스,펄,10,6,6,3,84.88,50,-26,13,0,0,0,0,0,v,13
32,2025-06-18-17-58,아구이뽀,아스트라,펄,4,11,15,1,201.13,120,-33,24,0,1,0,0,0,l,3
32,2025-06-18-17-58,강지형,요루,펄,5,10,14,1,178.06,111,-33,8,2,3,0,0,0,l,3
32,2025-06-18-17-58,강지,제트,펄,6,6,12,3,169.94,128,-69,24,1,0,0,0,0,l,3
32,2025-06-18-17-58,따효니,킬조이,펄,7,6,13,2,128.44,113,-36,21,0,2,0,0,1,l,3
32,2025-06-18-17-58,뱅,페이드,펄,9,4,15,7,101.06,66,-105,14,0,7,0,0,1,l,3
33,2025-06-18-18-09,짜누,아이소,헤이븐,1,25,12,6,370.2,252,130,21,6,2,0,0,1,v,13
33,2025-06-18-18-09,감제이,오멘,헤이븐,2,18,7,15,260.2,183,48,22,0,1,0,2,0,v,13
33,2025-06-18-18-09,울프,네온,헤이븐,4,14,14,3,187.85,112,-25,20,1,2,0,0,1,v,13
33,2025-06-18-18-09,마뫄,소바,헤이븐,7,9,11,6,169.8,131,38,19,4,0,0,4,1,v,13
33,2025-06-18-18-09,러너,킬조이,헤이븐,10,8,12,3,122.45,91,-24,11,2,2,0,0,0,v,13
33,2025-06-18-18-09,김뚜띠,아이소,헤이븐,3,13,16,5,203.25,140,-23,13,1,5,0,0,1,l,7
33,2025-06-18-18-09,빅헤드,오멘,헤이븐,5,14,14,2,187.15,110,-69,16,2,3,0,0,0,l,7
33,2025-06-18-18-09,핑맨,피닉스,헤이븐,6,12,16,5,178.0,113,-75,35,1,1,0,1,0,l,7
33,2025-06-18-18-09,고수달,킬조이,헤이븐,8,9,14,5,139.1,97,-33,16,2,3,0,1,0,l,7
33,2025-06-18-18-09,유봄냥,소바,헤이븐,9,8,14,5,134.4,91,-66,10,1,1,0,5,0,l,7
34,2025-06-18-18-43,조별하,피닉스,스플릿,1,28,14,3,405.74,260,99,33,6,0,0,0,1,v,13
34,2025-06-18-18-43,눈꽃,제트,스플릿,4,18,11,3,255.32,160,33,26,2,4,0,0,0,v,13
34,2025-06-18-18-43,임나은,오멘,스플릿,6,15,10,3,210.26,134,8,13,0,1,0,8,0,v,13
34,2025-06-18-18-43,푸린,소바,스플릿,8,11,12,2,155.63,121,-10,26,1,1,0,1,0,v,13
34,2025-06-18-18-43,백곰파,사이퍼,스플릿,9,5,17,7,108.05,70,-83,14,0,4,0,0,0,v,13
34,2025-06-18-18-43,강지,제트,스플릿,2,18,17,3,281.68,185,25,21,4,2,0,0,0,l,6
34,2025-06-18-18-43,강지형,요루,스플릿,3,17,15,5,277.42,177,28,8,2,4,0,0,0,l,6
34,2025-06-18-18-43,따효니,킬조이,스플릿,5,14,14,3,218.47,136,-57,12,1,0,0,0,1,l,6
34,2025-06-18-18-43,아구이뽀,오멘,스플릿,7,10,15,12,188.37,125,-22,17,2,0,0,1,0,l,6
34,2025-06-18-18-43,뱅,스카이,스플릿,10,5,16,3,100.68,74,-74,21,1,3,0,1,1,l,6
35,2025-06-18-19-10,짜누,아이소,로터스,2,22,17,6,308.87,210,54,22,3,3,0,1,0,v,13
35,2025-06-18-19-10,감제이,오멘,로터스,3,18,14,7,226.87,149,26,20,1,1,0,0,0,v,13
35,2025-06-18-19-10,울프,네온,로터스,4,18,16,4,202.7,116,-30,19,4,3,0,0,0,v,13
35,2025-06-18-19-10,마뫄,페이드,로터스,8,13,14,9,165.22,113,-20,15,2,1,0,8,2,v,13
35,2025-06-18-19-10,러너,바이스,로터스,9,8,16,5,118.52,87,-50,18,2,3,0,1,1,v,13
35,2025-06-18-19-10,김뚜띠,아이소,로터스,1,26,15,8,340.09,212,63,32,7,0,0,1,2,l,10
35,2025-06-18-19-10,핑맨,피닉스,로터스,5,17,16,1,195.52,133,-62,30,0,5,0,0,0,l,10
35,2025-06-18-19-10,빅헤드,오멘,로터스,6,13,15,6,186.22,142,24,31,2,2,0,1,0,l,10
35,2025-06-18-19-10,고수달,킬조이,로터스,7,13,15,2,178.22,133,-33,20,2,1,0,0,0,l,10
35,2025-06-18-19-10,유봄냥,페이드,로터스,10,8,18,7,118.22,75,-102,18,0,4,0,7,1,l,10
36,2025-06-18-21-05,짜누,레이나,어센트,1,22,13,4,271.9,168,53,27,3,3,0,0,0,v,13
36,2025-06-18-21-05,감제이,오멘,어센트,3,16,13,7,217.24,146,18,27,3,3,0,0,0,v,13
36,2025-06-18-21-05,마뫄,소바,어센트,5,14,12,4,189.38,116,20,16,1,2,0,7,0,v,13
36,2025-06-18-21-05,러너,킬조이,어센트,7,12,10,1,179.1,131,43,10,2,1,0,0,0,v,13
36,2025-06-18-21-05,울프,네온,어센트,9,10,15,6,141.29,92,-103,15,0,3,0,0,1,v,13
36,2025-06-18-21-05,강지형,요루,어센트,2,16,16,6,235.95,147,-33,13,4,2,0,0,0,l,8
36,2025-06-18-21-05,아구이뽀,오멘,어센트,4,16,14,7,207.57,118,-5,9,2,1,0,1,0,l,8
36,2025-06-18-21-05,뱅,소바,어센트,6,15,14,5,185.71,113,-17,8,2,3,0,2,0,l,8
36,2025-06-18-21-05,강지,제트,어센트,8,10,16,4,156.43,124,-29,24,3,0,0,0,0,l,8
36,2025-06-18-21-05,따효니,킬조이,어센트,10,6,14,2,105.76,75,-41,13,1,3,0,0,1,l,8
37,2025-06-18-21-09,핑맨,피닉스,어센트,2,24,16,8,279.79,175,11,36,3,4,0,0,0,v,13
37,2025-06-18-21-09,빅헤드,오멘,어센트,3,19,15,10,246.58,155,36,13,4,0,0,0,0,v,13
37,2025-06-18-21-09,김뚜띠,레이나,어센트,4,21,12,2,228.71,145,43,23,1,3,0,2,2,v,13
37,2025-06-18-21-09,고수달,사이퍼,어센트,7,12,15,6,149.88,99,-19,24,2,4,0,0,0,v,13
37,2025-06-18-21-09,유봄냥,소바,어센트,9,9,17,5,129.0,94,-34,35,0,3,0,6,0,v,13
37,2025-06-18-21-09,조별하,피닉스,어센트,1,23,17,1,290.29,201,58,30,4,3,0,0,1,l,11
37,2025-06-18-21-09,푸린,오멘,어센트,5,18,16,9,227.92,153,24,34,4,1,0,2,0,l,11
37,2025-06-18-21-09,눈꽃,제트,어센트,6,14,21,2,175.92,110,-44,14,5,2,0,0,0,l,11
37,2025-06-18-21-09,임나은,소바,어센트,8,11,15,7,148.63,99,-30,22,0,1,0,5,1,l,11
37,2025-06-18-21-09,백곰파,바이스,어센트,10,9,16,5,101.38,69,-44,11,1,3,0,1,0,l,11
38,2025-06-18-21-55,짜누,레이나,스플릿,1,29,17,6,351.08,242,102,25,5,1,0,0,1,v,14
38,2025-06-18-21-55,마뫄,페이드,스플릿,4,22,17,10,219.81,124,-6,13,2,3,0,1,1,v,14
38,2025-06-18-21-55,감제이,오멘,스플릿,5,15,16,11,201.96,142,33,13,2,0,0,5,0,v,14
38,2025-06-18-21-55,울프,네온,스플릿,8,17,18,6,171.58,104,-36,22,3,3,0,1,0,v,14
38,2025-06-18-21-55,러너,사이퍼,스플릿,9,15,17,5,170.81,113,0,8,3,4,0,0,0,v,14
38,2025-06-18-21-55,강지형,요루,스플릿,2,21,22,5,229.15,144,-1,20,3,2,0,0,0,l,12
38,2025-06-18-21-55,강지,제트,스플릿,3,20,20,8,224.35,152,1,20,6,3,0,1,0,l,12
38,2025-06-18-21-55,뱅,페이드,스플릿,6,15,17,11,193.5,132,3,16,1,5,0,4,2,l,12
38,2025-06-18-21-55,아구이뽀,오멘,스플릿,7,19,17,3,182.54,113,-37,12,0,3,0,0,0,l,12
38,2025-06-18-21-55,따효니,킬조이,스플릿,10,10,22,4,123.54,91,-59,21,1,2,0,0,0,l,12
39,2025-06-18-22-02,핑맨,피닉스,헤이븐,2,24,16,6,274.88,188,19,22,6,5,0,1,1,v,13
39,2025-06-18-22-02,김뚜띠,아이소,헤이븐,3,22,14,10,265.08,184,54,16,1,2,0,3,1,v,13
39,2025-06-18-22-02,빅헤드,오멘,헤이븐,4,23,20,10,263.71,175,15,18,1,1,0,1,0,v,13
39,2025-06-18-22-02,고수달,킬조이,헤이븐,8,9,21,9,143.63,109,-44,17,2,4,0,0,1,v,13
39,2025-06-18-22-02,유봄냥,소바,헤이븐,9,10,17,7,111.21,87,-45,27,0,2,0,5,0,v,13
39,2025-06-18-22-02,조별하,피닉스,헤이븐,1,34,15,5,382.58,252,118,31,5,1,0,1,2,l,11
39,2025-06-18-22-02,푸린,소바,헤이븐,5,19,18,3,228.83,175,34,31,3,1,0,1,0,l,11
39,2025-06-18-22-02,임나은,오멘,헤이븐,6,14,20,14,193.17,135,-25,13,3,4,0,5,0,l,11
39,2025-06-18-22-02,눈꽃,제트,헤이븐,7,16,18,4,182.54,128,-38,18,3,2,0,0,0,l,11
39,2025-06-18-22-02,백곰파,사이퍼,헤이븐,10,5,17,8,76.54,53,-87,3,0,2,0,1,1,l,11
40,2025-06-18-23-01,짜누,아이소,로터스,1,33,12,1,388.14,245,120,26,3,1,0,0,1,v,13
40,2025-06-18-23-01,마뫄,페이드,로터스,4,16,14,6,196.95,139,-13,24,0,3,0,1,0,v,13
40,2025-06-18-23-01,울프,네온,로터스,5,11,14,9,169.91,116,-11,31,1,4,0,0,0,v,13
40,2025-06-18-23-01,감제이,오멘,로터스,8,11,17,3,147.14,99,-40,9,3,3,0,7,0,v,13
40,2025-06-18-23-01,러너,바이스,로터스,9,11,17,5,146.14,111,-35,16,3,1,0,0,0,v,13
40,2025-06-18-23-01,강지형,요루,로터스,2,19,17,8,270.05,181,18,10,3,1,0,0,0,l,9
40,2025-06-18-23-01,강지,아이소,로터스,3,22,16,4,268.5,174,31,22,4,0,0,0,0,l,9
40,2025-06-18-23-01,뱅,페이드,로터스,6,11,18,7,164.82,105,-56,5,3,8,0,3,0,l,9
40,2025-06-18-23-01,아구이뽀,오멘,로터스,7,12,16,7,152.86,94,-29,11,2,1,0,2,0,l,9
40,2025-06-18-23-01,따효니,킬조이,로터스,10,10,15,3,126.27,87,-32,26,0,0,0,0,1,l,9
41,2025-06-18-23-07,조별하,아이소,로터스,2,35,25,8,284.56,184,58,31,4,3,0,0,2,v,19
41,2025-06-18-23-07,푸린,오멘,로터스,4,30,25,15,246.44,154,8,20,3,5,0,0,0,v,19
41,2025-06-18-23-07,눈꽃,제트,로터스,5,27,28,10,234.22,163,23,13,6,5,0,0,2,v,19
41,2025-06-18-23-07,백곰파,바이스,로터스,8,16,26,6,140.22,89,-51,13,4,5,0,0,1,v,19
41,2025-06-18-23-07,임나은,페이드,로터스,10,17,23,8,120.42,75,-54,13,1,0,0,8,0,v,19
41,2025-06-18-23-07,김뚜띠,아이소,로터스,1,39,24,10,313.19,209,86,18,6,2,0,1,1,l,17
41,2025-06-18-23-07,핑맨,피닉스,로터스,3,32,25,8,249.22,149,7,18,8,5,0,0,0,l,17
41,2025-06-18-23-07,고수달,킬조이,로터스,6,21,27,7,181.92,119,-17,17,3,5,0,1,0,l,17
41,2025-06-18-23-07,빅헤드,오멘,로터스,7,20,25,14,172.03,124,-24,24,1,4,0,0,0,l,17
41,2025-06-18-23-07,유봄냥,페이드,로터스,9,15,24,11,121.14,80,-36,14,0,2,0,8,1,l,17
42,2025-06-19-03-20,강지형,요루,펄,1,32,17,3,370.13,248,96,28,7,1,0,1,0,v,13
42,2025-06-19-03-20,뱅,페이드,펄,5,16,20,10,211.83,138,-10,7,1,2,0,7,0,v,13
42,2025-06-19-03-20,아구이뽀,아스트라,펄,7,15,18,5,165.17,122,-12,20,4,0,0,1,1,v,13
42,2025-06-19-03-20,따효니,킬조이,펄,9,15,15,0,148.08,97,-21,25,0,0,0,0,2,v,13
42,2025-06-19-03-20,강지,제트,펄,10,8,20,4,120.17,88,-61,15,3,6,0,0,1,v,13
42,2025-06-19-03-20,울프,네온,펄,2,23,17,7,276.13,172,24,31,2,2,0,1,1,l,11
42,2025-06-19-03-20,짜누,아이소,펄,3,21,18,7,265.63,175,28,20,4,4,0,0,1,l,11
42,2025-06-19-03-20,마뫄,페이드,펄,4,19,16,12,232.79,154,29,17,1,3,0,9,0,l,11
42,2025-06-19-03-20,러너,바이스,펄,6,14,17,6,172.96,116,-14,11,0,4,0,0,0,l,11
42,2025-06-19-03-20,감제이,아스트라,펄,8,13,18,10,150.21,83,-59,11,2,2,0,0,0,l,11
43,2025-06-19-17-07,짜누,아이소,헤이븐,1,28,10,8,418.5,267,149,15,9,4,0,0,0,v,13
43,2025-06-19-17-07,러너,킬조이,헤이븐,3,16,11,3,216.9,151,44,12,1,1,0,0,1,v,13
43,2025-06-19-17-07,울프,네온,헤이븐,4,14,11,5,195.75,131,10,15,0,0,0,0,0,v,13
43,2025-06-19-17-07,마뫄,소바,헤이븐,6,14,12,3,180.7,108,-16,7,1,2,0,4,1,v,13
43,2025-06-19-17-07,감제이,오멘,헤이븐,9,9,12,14,145.15,98,-4,11,1,1,0,7,0,v,13
43,2025-06-19-17-07,조별하,피닉스,헤이븐,2,16,17,0,239.4,165,3,29,1,2,0,2,0,l,7
43,2025-06-19-17-07,눈꽃,제트,헤이븐,5,13,15,2,190.65,109,-104,12,4,3,0,0,0,l,7
43,2025-06-19-17-07,푸린,오멘,헤이븐,7,12,15,3,168.05,114,-21,17,0,2,0,1,1,l,7
43,2025-06-19-17-07,임나은,소바,헤이븐,8,10,17,5,156.0,110,-47,11,2,2,0,2,0,l,7
43,2025-06-19-17-07,백곰파,사이퍼,헤이븐,10,5,17,3,94.4,72,-63,10,1,3,0,1,1,l,7
44,2025-06-19-17-10,강지,제트,펄,1,24,14,5,273.41,175,43,23,4,2,0,0,2,v,13
44,2025-06-19-17-10,뱅,페이드,펄,2,20,18,12,271.82,169,3,13,2,0,0,7,0,v,13
44,2025-06-19-17-10,강지형,요루,펄,3,17,18,13,256.59,170,35,10,2,2,0,0,0,v,13
44,2025-06-19-17-10,따효니,킬조이,펄,8,14,18,3,169.36,117,-48,13,6,1,0,0,1,v,13
44,2025-06-19-17-10,아구이뽀,아스트라,펄,9,14,13,7,157.55,99,-17,19,2,1,0,1,2,v,13
44,2025-06-19-17-10,핑맨,피닉스,펄,4,18,21,6,250.27,150,-19,40,2,8,0,0,0,l,9
44,2025-06-19-17-10,빅헤드,아스트라,펄,5,19,15,7,244.73,156,22,12,2,3,0,1,1,l,9
44,2025-06-19-17-10,김뚜띠,아이소,펄,6,20,20,1,238.91,148,-8,28,1,3,0,0,0,l,9
44,2025-06-19-17-10,유봄냥,페이드,펄,7,16,16,7,219.09,147,-42,15,1,1,0,8,0,l,9
44,2025-06-19-17-10,고수달,킬조이,펄,10,8,17,3,115.77,113,-15,12,0,1,0,0,0,l,9
45,2025-06-19-18-06,빅헤드,오멘,어센트,1,25,12,8,323.3,211,89,21,2,2,0,2,0,v,13
45,2025-06-19-18-06,핑맨,피닉스,어센트,3,18,15,6,275.8,182,8,37,5,4,0,1,0,v,13
45,2025-06-19-18-06,김뚜띠,레이나,어센트,5,16,15,7,243.5,170,20,22,1,0,0,0,1,v,13
45,2025-06-19-18-06,유봄냥,소바,어센트,6,15,9,8,179.75,142,45,35,0,3,0,7,2,v,13
45,2025-06-19-18-06,고수달,사이퍼,어센트,10,6,12,5,101.4,77,-30,19,0,3,0,0,1,v,13
45,2025-06-19-18-06,강지형,요루,어센트,2,19,14,5,302.3,217,82,9,3,2,0,0,1,l,7
45,2025-06-19-18-06,강지,제트,어센트,4,17,18,3,247.25,143,-22,20,5,1,0,0,1,l,7
45,2025-06-19-18-06,뱅,소바,어센트,7,9,16,6,157.4,115,-44,14,0,2,0,2,1,l,7
45,2025-06-19-18-06,따효니,킬조이,어센트,8,10,15,2,153.4,100,-98,8,1,2,0,0,0,l,7
45,2025-06-19-18-06,아구이뽀,오멘,어센트,9,8,17,4,117.95,74,-99,9,3,1,0,4,0,l,7
46,2025-06-19-18-07,조별하,피닉스,펄,1,23,10,11,412.59,267,120,21,4,3,0,0,1,v,13
46,2025-06-19-18-07,푸린,아스트라,펄,3,15,9,7,224.82,141,28,21,1,3,0,0,0,v,13
46,2025-06-19-18-07,임나은,페이드,펄,4,13,9,8,212.41,133,8,14,1,1,0,4,2,v,13
46,2025-06-19-18-07,눈꽃,제트,펄,5,11,10,4,191.29,112,4,4,3,0,0,0,0,v,13
46,2025-06-19-18-07,백곰파,바이스,펄,8,11,8,2,129.59,85,-9,10,0,1,0,0,1,v,13
46,2025-06-19-18-07,짜누,아이소,펄,2,14,15,3,276.82,191,32,15,3,1,0,1,0,l,4
46,2025-06-19-18-07,러너,바이스,펄,6,11,14,3,186.47,137,-24,23,1,2,0,0,1,l,4
46,2025-06-19-18-07,감제이,아스트라,펄,7,10,16,1,175.76,114,-30,31,2,1,0,4,0,l,4
46,2025-06-19-18-07,마뫄,페이드,펄,9,7,14,4,124.35,80,-52,9,1,1,0,0,0,l,4
46,2025-06-19-18-07,울프,네온,펄,10,4,14,4,90.18,67,-77,19,1,4,0,1,0,l,4
47,2025-06-19-19-01,짜누,레이나,어센트,2,17,21,11,237.75,156,5,26,7,4,0,0,0,v,13
47,2025-06-19-19-01,러너,킬조이,어센트,3,19,16,5,235.63,162,42,16,2,4,0,0,1,v,13
47,2025-06-19-19-01,감제이,오멘,어센트,4,18,14,5,205.63,139,23,14,1,1,0,5,2,v,13
47,2025-06-19-19-01,마뫄,소바,어센트,5,18,18,6,200.25,131,-18,17,0,3,0,2,2,v,13
47,2025-06-19-19-01,울프,네온,어센트,9,12,13,4,156.21,117,9,17,1,1,0,0,1,v,13
47,2025-06-19-19-01,조별하,피닉스,어센트,1,34,17,3,409.63,257,95,30,8,4,0,0,1,l,11
47,2025-06-19-19-01,푸린,오멘,어센트,6,16,18,5,191.67,127,-16,36,0,2,0,1,0,l,11
47,2025-06-19-19-01,눈꽃,제트,어센트,7,14,18,2,164.21,104,-34,12,2,4,0,0,1,l,11
47,2025-06-19-19-01,임나은,소바,어센트,8,12,16,6,159.75,103,-31,10,3,0,0,5,1,l,11
47,2025-06-19-19-01,백곰파,바이스,어센트,10,6,15,2,69.79,46,-75,12,0,1,0,1,2,l,11
48,2025-06-19-19-03,강지형,요루,스플릿,2,22,17,6,291.43,171,37,11,4,2,0,0,1,v,13
48,2025-06-19-19-03,강지,제트,스플릿,3,22,16,4,263.57,166,18,26,5,5,0,0,2,v,13
48,2025-06-19-19-03,뱅,페이드,스플릿,6,14,17,15,196.39,128,-10,9,2,3,0,4,1,v,13
48,2025-06-19-19-03,아구이뽀,오멘,스플릿,7,13,14,12,181.22,127,6,18,0,1,0,1,1,v,13
48,2025-06-19-19-03,따효니,킬조이,스플릿,10,3,21,5,71.52,62,-104,10,0,1,0,0,0,v,13
48,2025-06-19-19-03,핑맨,피닉스,스플릿,1,27,16,7,337.39,216,0,37,7,3,0,0,0,l,10
48,2025-06-19-19-03,고수달,사이퍼,스플릿,4,23,13,1,254.43,176,18,33,1,2,0,0,0,l,10
48,2025-06-19-19-03,김뚜띠,요루,스플릿,5,15,16,9,215.83,157,25,16,3,4,0,0,0,l,10
48,2025-06-19-19-03,빅헤드,오멘,스플릿,8,11,14,6,143.22,95,-33,15,1,0,0,1,0,l,10
48,2025-06-19-19-03,유봄냥,페이드,스플릿,9,9,15,6,110.35,63,-44,9,0,2,0,8,0,l,10
49,2025-06-19-21-07,조별하,레이나,어센트,1,29,15,4,377.73,238,108,26,5,3,0,0,0,v,13
49,2025-06-19-21-07,눈꽃,제트,어센트,3,21,15,7,274.73,199,42,12,2,2,0,0,3,v,13
49,2025-06-19-21-07,푸린,오멘,어센트,5,16,15,6,178.09,113,-18,52,1,5,0,2,0,v,13
49,2025-06-19-21-07,백곰파,바이스,어센트,7,12,13,5,161.18,97,-27,5,1,0,0,0,1,v,13
49,2025-06-19-21-07,임나은,소바,어센트,10,5,15,9,100.23,91,-47,12,0,3,0,8,1,v,13
49,2025-06-19-21-07,강지형,요루,어센트,2,24,15,7,328.18,226,93,16,6,2,0,1,0,l,9
49,2025-06-19-21-07,강지,제트,어센트,4,15,20,4,222.82,153,-6,13,4,1,0,0,0,l,9
49,2025-06-19-21-07,뱅,소바,어센트,6,13,12,10,174.91,128,1,7,0,2,0,6,3,l,9
49,2025-06-19-21-07,따효니,킬조이,어센트,8,11,19,1,138.77,85,-74,8,2,4,0,0,0,l,9
49,2025-06-19-21-07,아구이뽀,오멘,어센트,9,10,17,5,118.05,88,-71,18,1,0,0,2,0,l,9
50,2025-06-19-21-12,짜누,아이소,펄,1,16,6,8,295.13,198,96,11,4,0,0,1,0,v,13
50,2025-06-19-21-12,울프,네온,펄,2,16,7,1,262.5,170,78,26,5,2,0,0,0,v,13
50,2025-06-19-21-12,감제이,아스트라,펄,3,12,6,6,223.0,136,60,8,2,1,0,7,0,v,13
50,2025-06-19-21-12,마뫄,페이드,펄,4,15,6,7,203.75,124,30,12,0,0,0,2,0,v,13
50,2025-06-19-21-12,러너,바이스,펄,6,13,5,4,181.31,140,75,14,1,1,0,0,0,v,13
50,2025-06-19-21-12,핑맨,피닉스,펄,5,10,15,1,201.56,123,-36,33,1,6,0,1,0,l,3
50,2025-06-19-21-12,김뚜띠,아이소,펄,7,6,15,1,127.44,95,-54,23,2,3,0,0,1,l,3
50,2025-06-19-21-12,유봄냥,페이드,펄,8,5,15,4,125.25,94,-62,20,0,0,0,0,0,l,3
50,2025-06-19-21-12,고수달,킬조이,펄,9,6,13,1,99.38,67,-99,29,1,0,0,0,1,l,3
50,2025-06-19-21-12,빅헤드,아스트라,펄,10,3,14,2,65.69,49,-89,7,0,3,0,0,0,l,3
51,2025-06-19-21-53,짜누,레이나,스플릿,1,18,8,10,307.47,187,76,12,6,2,0,0,0,v,13
51,2025-06-19-21-53,감제이,오멘,스플릿,2,20,8,5,304.0,193,101,17,3,0,0,0,1,v,13
51,2025-06-19-21-53,울프,네온,스플릿,3,16,9,3,229.06,145,24,22,0,0,0,0,1,v,13
51,2025-06-19-21-53,마뫄,페이드,스플릿,4,12,10,6,203.18,140,25,12,0,1,0,4,0,v,13
51,2025-06-19-21-53,러너,사이퍼,스플릿,8,11,9,6,166.41,115,26,4,4,1,0,0,0,v,13
51,2025-06-19-21-53,핑맨,피닉스,스플릿,5,11,17,2,198.12,117,-61,30,2,2,0,0,0,l,4
51,2025-06-19-21-53,빅헤드,오멘,스플릿,6,8,14,7,174.18,117,-42,23,0,1,0,1,0,l,4
51,2025-06-19-21-53,고수달,사이퍼,스플릿,7,10,16,1,168.88,103,-62,27,1,4,0,0,0,l,4
51,2025-06-19-21-53,유봄냥,페이드,스플릿,9,9,14,0,144.35,92,-34,32,0,2,0,4,0,l,4
51,2025-06-19-21-53,김뚜띠,레이즈,스플릿,10,6,16,3,143.0,96,-54,9,1,4,0,0,0,l,4
52,2025-06-19-22-18,조별하,레이나,헤이븐,1,36,17,4,395.92,256,138,28,6,3,0,3,0,v,14
52,2025-06-19-22-18,백곰파,사이퍼,헤이븐,5,16,18,10,198.35,134,10,20,1,1,0,0,0,v,14
52,2025-06-19-22-18,눈꽃,제트,헤이븐,6,17,18,6,196.58,135,13,14,2,3,0,2,1,v,14
52,2025-06-19-22-18,푸린,오멘,헤이븐,8,17,16,5,178.69,114,-15,25,3,6,0,0,1,v,14
52,2025-06-19-22-18,임나은,소바,헤이븐,9,11,21,10,138.46,93,-50,15,0,1,0,7,0,v,14
52,2025-06-19-22-18,뱅,소바,헤이븐,2,24,20,7,257.15,151,-15,11,3,0,0,2,2,l,12
52,2025-06-19-22-18,강지형,요루,헤이븐,3,21,20,8,253.88,169,15,13,6,7,0,0,0,l,12
52,2025-06-19-22-18,따효니,킬조이,헤이븐,4,19,18,8,218.15,145,17,20,2,1,0,1,2,l,12
52,2025-06-19-22-18,강지,제트,헤이븐,7,17,19,5,192.73,123,-14,27,3,2,0,2,1,l,12
52,2025-06-19-22-18,아구이뽀,오멘,헤이븐,10,9,20,4,84.92,49,-99,14,0,2,0,1,0,l,12
53,2025-06-19-22-45,감제이,오멘,헤이븐,1,26,12,4,274.42,175,60,25,1,1,0,7,1,v,13
53,2025-06-19-22-45,짜누,아이소,헤이븐,4,20,16,5,242.17,155,11,19,5,6,0,0,0,v,13
53,2025-06-19-22-45,울프,네온,헤이븐,5,19,16,9,223.13,131,-16,17,1,1,0,1,0,v,13
53,2025-06-19-22-45,마뫄,소바,헤이븐,6,15,14,8,195.42,133,20,14,3,2,0,0,1,v,13
53,2025-06-19-22-45,러너,킬조이,헤이븐,10,8,14,3,102.29,79,-22,7,0,4,0,0,0,v,13
53,2025-06-19-22-45,김뚜띠,아이소,헤이븐,2,21,19,4,254.38,168,31,18,3,1,0,1,0,l,11
53,2025-06-19-22-45,핑맨,피닉스,헤이븐,3,19,19,3,251.29,164,4,20,6,4,0,0,0,l,11
53,2025-06-19-22-45,빅헤드,오멘,헤이븐,7,11,14,7,144.38,100,-11,10,2,1,0,0,1,l,11
53,2025-06-19-22-45,유봄냥,소바,헤이븐,8,11,18,7,139.33,96,-42,10,1,0,0,4,1,l,11
53,2025-06-19-22-45,고수달,킬조이,헤이븐,9,10,18,3,124.63,89,-35,22,2,4,0,0,2,l,11
54,2025-06-19-23-36,강지형,요루,로터스,1,27,11,4,369.58,217,109,14,4,0,0,0,2,v,13
54,2025-06-19-23-36,강지,아이소,로터스,4,15,12,5,213.79,140,-32,17,3,1,0,1,1,v,13
54,2025-06-19-23-36,뱅,페이드,로터스,5,9,13,15,192.37,144,23,8,2,2,0,5,1,v,13
54,2025-06-19-23-36,아구이뽀,오멘,로터스,6,16,13,4,187.84,91,-45,16,1,1,0,0,0,v,13
54,2025-06-19-23-36,따효니,킬조이,로터스,8,8,12,5,139.0,101,-27,18,2,3,0,0,2,v,13
54,2025-06-19-23-36,조별하,아이소,로터스,2,19,14,3,307.26,197,67,38,4,1,0,1,0,l,6
54,2025-06-19-23-36,눈꽃,제트,로터스,3,16,17,1,240.16,153,-9,13,2,5,0,0,0,l,6
54,2025-06-19-23-36,백곰파,바이스,로터스,7,12,13,5,175.05,111,-56,11,0,2,0,1,0,l,6
54,2025-06-19-23-36,푸린,오멘,로터스,9,8,15,5,130.84,86,-56,19,1,3,0,2,0,l,6
54,2025-06-19-23-36,임나은,페이드,로터스,10,6,16,4,95.37,65,-80,7,0,1,0,7,0,l,6
55,2025-06-19-23-44,짜누,레이나,어센트,1,23,12,9,290.05,185,70,15,3,4,0,0,0,v,13
55,2025-06-19-23-44,감제이,오멘,어센트,2,17,12,11,269.25,166,64,32,5,0,0,1,0,v,13
55,2025-06-19-23-44,울프,네온,어센트,3,18,14,6,253.45,152,26,8,2,2,0,0,0,v,13
55,2025-06-19-23-44,러너,킬조이,어센트,7,11,12,2,175.15,120,1,11,2,2,0,0,0,v,13
55,2025-06-19-23-44,마뫄,소바,어센트,8,12,10,4,173.75,127,12,24,0,0,0,6,1,v,13
55,2025-06-19-23-44,유봄냥,소바,어센트,4,16,15,8,235.95,149,1,29,4,3,0,3,1,l,7
55,2025-06-19-23-44,핑맨,피닉스,어센트,5,16,16,1,217.9,128,-25,38,2,3,0,0,2,l,7
55,2025-06-19-23-44,빅헤드,오멘,어센트,6,11,18,6,175.65,115,-45,17,1,3,0,0,0,l,7
55,2025-06-19-23-44,고수달,사이퍼,어센트,9,9,16,1,142.4,100,-46,27,1,2,0,0,0,l,7
55,2025-06-19-23-44,김뚜띠,레이나,어센트,10,8,16,8,121.15,84,-58,9,0,1,0,0,1,l,7
56,2025-06-20-00-28,조별하,레이나,어센트,1,24,11,8,356.35,234,69,28,7,1,0,0,0,v,13
